"Date/Time","PointId Name","Point Name","Value","Units",
"2022-02-14 00:00:00","1129147_11_0_0","Load Power (p83106)","914.0","kW",
"2022-02-14 00:05:00","1129147_11_0_0","Load Power (p83106)","1099.0","kW",
"2022-02-14 00:10:00","1129147_11_0_0","Load Power (p83106)","958.0","kW",
"2022-02-14 00:15:00","1129147_11_0_0","Load Power (p83106)","830.0","kW",
"2022-02-14 00:20:00","1129147_11_0_0","Load Power (p83106)","826.0","kW",
"2022-02-14 00:25:00","1129147_11_0_0","Load Power (p83106)","841.0","kW",
"2022-02-14 00:30:00","1129147_11_0_0","Load Power (p83106)","865.0","kW",
"2022-02-14 00:35:00","1129147_11_0_0","Load Power (p83106)","822.0","kW",
"2022-02-14 00:40:00","1129147_11_0_0","Load Power (p83106)","834.0","kW",
"2022-02-14 00:45:00","1129147_11_0_0","Load Power (p83106)","840.0","kW",
"2022-02-14 00:50:00","1129147_11_0_0","Load Power (p83106)","670.0","kW",
"2022-02-14 00:55:00","1129147_11_0_0","Load Power (p83106)","598.0","kW",
"2022-02-14 01:00:00","1129147_11_0_0","Load Power (p83106)","610.0","kW",
"2022-02-14 01:05:00","1129147_11_0_0","Load Power (p83106)","621.0","kW",
"2022-02-14 01:10:00","1129147_11_0_0","Load Power (p83106)","660.0","kW",
"2022-02-14 01:15:00","1129147_11_0_0","Load Power (p83106)","660.0","kW",
"2022-02-14 01:20:00","1129147_11_0_0","Load Power (p83106)","646.0","kW",
"2022-02-14 01:25:00","1129147_11_0_0","Load Power (p83106)","751.0","kW",
"2022-02-14 01:30:00","1129147_11_0_0","Load Power (p83106)","917.0","kW",
"2022-02-14 01:35:00","1129147_11_0_0","Load Power (p83106)","794.0","kW",
"2022-02-14 01:40:00","1129147_11_0_0","Load Power (p83106)","791.0","kW",
"2022-02-14 01:45:00","1129147_11_0_0","Load Power (p83106)","794.0","kW",
"2022-02-14 01:50:00","1129147_11_0_0","Load Power (p83106)","793.0","kW",
"2022-02-14 01:55:00","1129147_11_0_0","Load Power (p83106)","836.0","kW",
"2022-02-14 02:00:00","1129147_11_0_0","Load Power (p83106)","805.0","kW",
