"Date/Time","PointId Name","Point Name","Value","Units",
"2022-02-18 00:00:00","1129147_11_0_0","Load Power (p83106)","714.0","kW",
"2022-02-18 00:05:00","1129147_11_0_0","Load Power (p83106)","629.0","kW",
"2022-02-18 00:10:00","1129147_11_0_0","Load Power (p83106)","727.0","kW",
"2022-02-18 00:15:00","1129147_11_0_0","Load Power (p83106)","682.0","kW",
"2022-02-18 00:20:00","1129147_11_0_0","Load Power (p83106)","711.0","kW",
"2022-02-18 00:25:00","1129147_11_0_0","Load Power (p83106)","711.0","kW",
"2022-02-18 00:30:00","1129147_11_0_0","Load Power (p83106)","797.0","kW",
"2022-02-18 00:35:00","1129147_11_0_0","Load Power (p83106)","815.0","kW",
"2022-02-18 00:40:00","1129147_11_0_0","Load Power (p83106)","828.0","kW",
"2022-02-18 00:45:00","1129147_11_0_0","Load Power (p83106)","818.0","kW",
"2022-02-18 00:50:00","1129147_11_0_0","Load Power (p83106)","823.0","kW",
"2022-02-18 00:55:00","1129147_11_0_0","Load Power (p83106)","812.0","kW",
"2022-02-18 01:00:00","1129147_11_0_0","Load Power (p83106)","797.0","kW",
"2022-02-18 01:05:00","1129147_11_0_0","Load Power (p83106)","695.0","kW",
"2022-02-18 01:10:00","1129147_11_0_0","Load Power (p83106)","695.0","kW",
"2022-02-18 01:15:00","1129147_11_0_0","Load Power (p83106)","683.0","kW",
"2022-02-18 01:20:00","1129147_11_0_0","Load Power (p83106)","675.0","kW",
"2022-02-18 01:25:00","1129147_11_0_0","Load Power (p83106)","677.0","kW",
"2022-02-18 01:30:00","1129147_11_0_0","Load Power (p83106)","683.0","kW",
"2022-02-18 01:35:00","1129147_11_0_0","Load Power (p83106)","675.0","kW",
"2022-02-18 01:40:00","1129147_11_0_0","Load Power (p83106)","679.0","kW",
"2022-02-18 01:45:00","1129147_11_0_0","Load Power (p83106)","831.0","kW",
"2022-02-18 01:50:00","1129147_11_0_0","Load Power (p83106)","828.0","kW",
"2022-02-18 01:55:00","1129147_11_0_0","Load Power (p83106)","850.0","kW",
"2022-02-18 02:00:00","1129147_11_0_0","Load Power (p83106)","813.0","kW",
"2022-02-18 02:05:00","1129147_11_0_0","Load Power (p83106)","838.0","kW",
"2022-02-18 02:10:00","1129147_11_0_0","Load Power (p83106)","810.0","kW",
"2022-02-18 02:15:00","1129147_11_0_0","Load Power (p83106)","810.0","kW",
"2022-02-18 02:20:00","1129147_11_0_0","Load Power (p83106)","795.0","kW",
"2022-02-18 02:25:00","1129147_11_0_0","Load Power (p83106)","629.0","kW",
"2022-02-18 02:30:00","1129147_11_0_0","Load Power (p83106)","775.0","kW",
"2022-02-18 02:35:00","1129147_11_0_0","Load Power (p83106)","686.0","kW",
"2022-02-18 02:40:00","1129147_11_0_0","Load Power (p83106)","666.0","kW",
"2022-02-18 02:45:00","1129147_11_0_0","Load Power (p83106)","644.0","kW",
"2022-02-18 02:50:00","1129147_11_0_0","Load Power (p83106)","730.0","kW",
"2022-02-18 02:55:00","1129147_11_0_0","Load Power (p83106)","923.0","kW",
"2022-02-18 03:00:00","1129147_11_0_0","Load Power (p83106)","902.0","kW",
"2022-02-18 03:05:00","1129147_11_0_0","Load Power (p83106)","900.0","kW",
"2022-02-18 03:10:00","1129147_11_0_0","Load Power (p83106)","894.0","kW",
"2022-02-18 03:15:00","1129147_11_0_0","Load Power (p83106)","884.0","kW",
"2022-02-18 03:20:00","1129147_11_0_0","Load Power (p83106)","884.0","kW",
"2022-02-18 03:25:00","1129147_11_0_0","Load Power (p83106)","889.0","kW",
"2022-02-18 03:30:00","1129147_11_0_0","Load Power (p83106)","865.0","kW",
"2022-02-18 03:35:00","1129147_11_0_0","Load Power (p83106)","718.0","kW",
"2022-02-18 03:40:00","1129147_11_0_0","Load Power (p83106)","713.0","kW",
"2022-02-18 03:45:00","1129147_11_0_0","Load Power (p83106)","722.0","kW",
"2022-02-18 03:50:00","1129147_11_0_0","Load Power (p83106)","741.0","kW",
"2022-02-18 03:55:00","1129147_11_0_0","Load Power (p83106)","730.0","kW",
"2022-02-18 04:00:00","1129147_11_0_0","Load Power (p83106)","721.0","kW",
"2022-02-18 04:05:00","1129147_11_0_0","Load Power (p83106)","747.0","kW",
"2022-02-18 04:10:00","1129147_11_0_0","Load Power (p83106)","732.0","kW",
"2022-02-18 04:15:00","1129147_11_0_0","Load Power (p83106)","910.0","kW",
"2022-02-18 04:20:00","1129147_11_0_0","Load Power (p83106)","892.0","kW",
"2022-02-18 04:25:00","1129147_11_0_0","Load Power (p83106)","894.0","kW",
"2022-02-18 04:30:00","1129147_11_0_0","Load Power (p83106)","853.0","kW",
"2022-02-18 04:35:00","1129147_11_0_0","Load Power (p83106)","858.0","kW",
"2022-02-18 04:40:00","1129147_11_0_0","Load Power (p83106)","840.0","kW",
"2022-02-18 04:45:00","1129147_11_0_0","Load Power (p83106)","763.0","kW",
"2022-02-18 04:50:00","1129147_11_0_0","Load Power (p83106)","770.0","kW",
"2022-02-18 04:55:00","1129147_11_0_0","Load Power (p83106)","629.0","kW",
"2022-02-18 05:00:00","1129147_11_0_0","Load Power (p83106)","624.0","kW",
"2022-02-18 05:05:00","1129147_11_0_0","Load Power (p83106)","625.0","kW",
"2022-02-18 05:10:00","1129147_11_0_0","Load Power (p83106)","639.0","kW",
"2022-02-18 05:15:00","1129147_11_0_0","Load Power (p83106)","623.0","kW",
"2022-02-18 05:20:00","1129147_11_0_0","Load Power (p83106)","639.0","kW",
"2022-02-18 05:25:00","1129147_11_0_0","Load Power (p83106)","706.0","kW",
"2022-02-18 05:30:00","1129147_11_0_0","Load Power (p83106)","885.0","kW",
"2022-02-18 05:35:00","1129147_11_0_0","Load Power (p83106)","867.0","kW",
"2022-02-18 05:40:00","1129147_11_0_0","Load Power (p83106)","780.0","kW",
"2022-02-18 05:45:00","1129147_11_0_0","Load Power (p83106)","775.0","kW",
"2022-02-18 05:50:00","1129147_11_0_0","Load Power (p83106)","769.0","kW",
"2022-02-18 05:55:00","1129147_11_0_0","Load Power (p83106)","788.0","kW",
"2022-02-18 06:00:00","1129147_11_0_0","Load Power (p83106)","839.0","kW",
"2022-02-18 06:05:00","1129147_11_0_0","Load Power (p83106)","704.0","kW",
"2022-02-18 06:10:00","1129147_11_0_0","Load Power (p83106)","698.0","kW",
"2022-02-18 06:15:00","1129147_11_0_0","Load Power (p83106)","687.0","kW",
"2022-02-18 06:20:00","1129147_11_0_0","Load Power (p83106)","715.0","kW",
"2022-02-18 06:25:00","1129147_11_0_0","Load Power (p83106)","700.0","kW",
"2022-02-18 06:30:00","1129147_11_0_0","Load Power (p83106)","726.0","kW",
"2022-02-18 06:35:00","1129147_11_0_0","Load Power (p83106)","698.0","kW",
"2022-02-18 06:40:00","1129147_11_0_0","Load Power (p83106)","683.0","kW",
"2022-02-18 06:45:00","1129147_11_0_0","Load Power (p83106)","861.0","kW",
"2022-02-18 06:50:00","1129147_11_0_0","Load Power (p83106)","854.0","kW",
"2022-02-18 06:55:00","1129147_11_0_0","Load Power (p83106)","2090.0","kW",
"2022-02-18 07:00:00","1129147_11_0_0","Load Power (p83106)","722.0","kW",
"2022-02-18 07:05:00","1129147_11_0_0","Load Power (p83106)","2774.0","kW",
"2022-02-18 07:10:00","1129147_11_0_0","Load Power (p83106)","2429.0","kW",
"2022-02-18 07:15:00","1129147_11_0_0","Load Power (p83106)","761.0","kW",
