"Date/Time","PointId Name","Point Name","Value","Units",
"2022-02-17 00:00:00","1129147_11_0_0","Load Power (p83106)","895.0","kW",
"2022-02-17 00:05:00","1129147_11_0_0","Load Power (p83106)","756.0","kW",
"2022-02-17 00:10:00","1129147_11_0_0","Load Power (p83106)","762.0","kW",
"2022-02-17 00:15:00","1129147_11_0_0","Load Power (p83106)","751.0","kW",
"2022-02-17 00:20:00","1129147_11_0_0","Load Power (p83106)","772.0","kW",
"2022-02-17 00:25:00","1129147_11_0_0","Load Power (p83106)","761.0","kW",
"2022-02-17 00:30:00","1129147_11_0_0","Load Power (p83106)","798.0","kW",
"2022-02-17 00:35:00","1129147_11_0_0","Load Power (p83106)","939.0","kW",
"2022-02-17 00:40:00","1129147_11_0_0","Load Power (p83106)","941.0","kW",
"2022-02-17 00:45:00","1129147_11_0_0","Load Power (p83106)","812.0","kW",
"2022-02-17 00:50:00","1129147_11_0_0","Load Power (p83106)","873.0","kW",
"2022-02-17 00:55:00","1129147_11_0_0","Load Power (p83106)","849.0","kW",
"2022-02-17 01:00:00","1129147_11_0_0","Load Power (p83106)","855.0","kW",
"2022-02-17 01:05:00","1129147_11_0_0","Load Power (p83106)","846.0","kW",
"2022-02-17 01:10:00","1129147_11_0_0","Load Power (p83106)","841.0","kW",
"2022-02-17 01:15:00","1129147_11_0_0","Load Power (p83106)","705.0","kW",
"2022-02-17 01:20:00","1129147_11_0_0","Load Power (p83106)","717.0","kW",
"2022-02-17 01:25:00","1129147_11_0_0","Load Power (p83106)","711.0","kW",
"2022-02-17 01:30:00","1129147_11_0_0","Load Power (p83106)","695.0","kW",
"2022-02-17 01:35:00","1129147_11_0_0","Load Power (p83106)","687.0","kW",
"2022-02-17 01:40:00","1129147_11_0_0","Load Power (p83106)","695.0","kW",
"2022-02-17 01:45:00","1129147_11_0_0","Load Power (p83106)","699.0","kW",
"2022-02-17 01:50:00","1129147_11_0_0","Load Power (p83106)","697.0","kW",
"2022-02-17 01:55:00","1129147_11_0_0","Load Power (p83106)","857.0","kW",
"2022-02-17 02:00:00","1129147_11_0_0","Load Power (p83106)","771.0","kW",
"2022-02-17 02:05:00","1129147_11_0_0","Load Power (p83106)","839.0","kW",
"2022-02-17 02:10:00","1129147_11_0_0","Load Power (p83106)","829.0","kW",
"2022-02-17 02:15:00","1129147_11_0_0","Load Power (p83106)","823.0","kW",
"2022-02-17 02:20:00","1129147_11_0_0","Load Power (p83106)","829.0","kW",
"2022-02-17 02:25:00","1129147_11_0_0","Load Power (p83106)","830.0","kW",
"2022-02-17 02:30:00","1129147_11_0_0","Load Power (p83106)","687.0","kW",
"2022-02-17 02:35:00","1129147_11_0_0","Load Power (p83106)","692.0","kW",
"2022-02-17 02:40:00","1129147_11_0_0","Load Power (p83106)","687.0","kW",
"2022-02-17 02:45:00","1129147_11_0_0","Load Power (p83106)","680.0","kW",
"2022-02-17 02:50:00","1129147_11_0_0","Load Power (p83106)","686.0","kW",
"2022-02-17 02:55:00","1129147_11_0_0","Load Power (p83106)","726.0","kW",
"2022-02-17 03:00:00","1129147_11_0_0","Load Power (p83106)","741.0","kW",
"2022-02-17 03:05:00","1129147_11_0_0","Load Power (p83106)","815.0","kW",
"2022-02-17 03:10:00","1129147_11_0_0","Load Power (p83106)","813.0","kW",
"2022-02-17 03:15:00","1129147_11_0_0","Load Power (p83106)","882.0","kW",
"2022-02-17 03:20:00","1129147_11_0_0","Load Power (p83106)","841.0","kW",
"2022-02-17 03:25:00","1129147_11_0_0","Load Power (p83106)","847.0","kW",
"2022-02-17 03:30:00","1129147_11_0_0","Load Power (p83106)","855.0","kW",
"2022-02-17 03:35:00","1129147_11_0_0","Load Power (p83106)","841.0","kW",
"2022-02-17 03:40:00","1129147_11_0_0","Load Power (p83106)","718.0","kW",
"2022-02-17 03:45:00","1129147_11_0_0","Load Power (p83106)","716.0","kW",
"2022-02-17 03:50:00","1129147_11_0_0","Load Power (p83106)","676.0","kW",
"2022-02-17 03:55:00","1129147_11_0_0","Load Power (p83106)","630.0","kW",
"2022-02-17 04:00:00","1129147_11_0_0","Load Power (p83106)","630.0","kW",
"2022-02-17 04:05:00","1129147_11_0_0","Load Power (p83106)","630.0","kW",
"2022-02-17 04:10:00","1129147_11_0_0","Load Power (p83106)","629.0","kW",
"2022-02-17 04:15:00","1129147_11_0_0","Load Power (p83106)","805.0","kW",
"2022-02-17 04:20:00","1129147_11_0_0","Load Power (p83106)","796.0","kW",
"2022-02-17 04:25:00","1129147_11_0_0","Load Power (p83106)","883.0","kW",
"2022-02-17 04:30:00","1129147_11_0_0","Load Power (p83106)","854.0","kW",
"2022-02-17 04:35:00","1129147_11_0_0","Load Power (p83106)","865.0","kW",
"2022-02-17 04:40:00","1129147_11_0_0","Load Power (p83106)","865.0","kW",
"2022-02-17 04:45:00","1129147_11_0_0","Load Power (p83106)","776.0","kW",
"2022-02-17 04:50:00","1129147_11_0_0","Load Power (p83106)","762.0","kW",
"2022-02-17 04:55:00","1129147_11_0_0","Load Power (p83106)","608.0","kW",
"2022-02-17 05:00:00","1129147_11_0_0","Load Power (p83106)","610.0","kW",
"2022-02-17 05:05:00","1129147_11_0_0","Load Power (p83106)","614.0","kW",
"2022-02-17 05:10:00","1129147_11_0_0","Load Power (p83106)","617.0","kW",
"2022-02-17 05:15:00","1129147_11_0_0","Load Power (p83106)","611.0","kW",
"2022-02-17 05:20:00","1129147_11_0_0","Load Power (p83106)","611.0","kW",
"2022-02-17 05:25:00","1129147_11_0_0","Load Power (p83106)","605.0","kW",
"2022-02-17 05:30:00","1129147_11_0_0","Load Power (p83106)","602.0","kW",
"2022-02-17 05:35:00","1129147_11_0_0","Load Power (p83106)","772.0","kW",
"2022-02-17 05:40:00","1129147_11_0_0","Load Power (p83106)","767.0","kW",
"2022-02-17 05:45:00","1129147_11_0_0","Load Power (p83106)","745.0","kW",
"2022-02-17 05:50:00","1129147_11_0_0","Load Power (p83106)","743.0","kW",
"2022-02-17 05:55:00","1129147_11_0_0","Load Power (p83106)","747.0","kW",
"2022-02-17 06:00:00","1129147_11_0_0","Load Power (p83106)","744.0","kW",
"2022-02-17 06:05:00","1129147_11_0_0","Load Power (p83106)","603.0","kW",
"2022-02-17 06:10:00","1129147_11_0_0","Load Power (p83106)","643.0","kW",
"2022-02-17 06:15:00","1129147_11_0_0","Load Power (p83106)","678.0","kW",
"2022-02-17 06:20:00","1129147_11_0_0","Load Power (p83106)","673.0","kW",
"2022-02-17 06:25:00","1129147_11_0_0","Load Power (p83106)","662.0","kW",
"2022-02-17 06:30:00","1129147_11_0_0","Load Power (p83106)","679.0","kW",
"2022-02-17 06:35:00","1129147_11_0_0","Load Power (p83106)","656.0","kW",
"2022-02-17 06:40:00","1129147_11_0_0","Load Power (p83106)","679.0","kW",
"2022-02-17 06:45:00","1129147_11_0_0","Load Power (p83106)","771.0","kW",
"2022-02-17 06:50:00","1129147_11_0_0","Load Power (p83106)","792.0","kW",
"2022-02-17 06:55:00","1129147_11_0_0","Load Power (p83106)","819.0","kW",
"2022-02-17 07:00:00","1129147_11_0_0","Load Power (p83106)","791.0","kW",
"2022-02-17 07:05:00","1129147_11_0_0","Load Power (p83106)","799.0","kW",
"2022-02-17 07:10:00","1129147_11_0_0","Load Power (p83106)","810.0","kW",
"2022-02-17 07:15:00","1129147_11_0_0","Load Power (p83106)","758.0","kW",
"2022-02-17 07:20:00","1129147_11_0_0","Load Power (p83106)","2621.0","kW",
"2022-02-17 07:25:00","1129147_11_0_0","Load Power (p83106)","711.0","kW",
"2022-02-17 07:30:00","1129147_11_0_0","Load Power (p83106)","719.0","kW",
"2022-02-17 07:35:00","1129147_11_0_0","Load Power (p83106)","685.0","kW",
"2022-02-17 07:40:00","1129147_11_0_0","Load Power (p83106)","745.0","kW",
"2022-02-17 07:45:00","1129147_11_0_0","Load Power (p83106)","866.0","kW",
"2022-02-17 07:50:00","1129147_11_0_0","Load Power (p83106)","848.0","kW",
"2022-02-17 07:55:00","1129147_11_0_0","Load Power (p83106)","946.0","kW",
"2022-02-17 08:00:00","1129147_11_0_0","Load Power (p83106)","848.0","kW",
"2022-02-17 08:05:00","1129147_11_0_0","Load Power (p83106)","814.0","kW",
"2022-02-17 08:10:00","1129147_11_0_0","Load Power (p83106)","836.0","kW",
"2022-02-17 08:15:00","1129147_11_0_0","Load Power (p83106)","831.0","kW",
"2022-02-17 08:20:00","1129147_11_0_0","Load Power (p83106)","847.0","kW",
"2022-02-17 08:25:00","1129147_11_0_0","Load Power (p83106)","764.0","kW",
"2022-02-17 08:30:00","1129147_11_0_0","Load Power (p83106)","838.0","kW",
"2022-02-17 08:35:00","1129147_11_0_0","Load Power (p83106)","830.0","kW",
"2022-02-17 08:40:00","1129147_11_0_0","Load Power (p83106)","690.0","kW",
"2022-02-17 08:45:00","1129147_11_0_0","Load Power (p83106)","701.0","kW",
"2022-02-17 08:50:00","1129147_11_0_0","Load Power (p83106)","621.0","kW",
"2022-02-17 08:55:00","1129147_11_0_0","Load Power (p83106)","695.0","kW",
"2022-02-17 09:00:00","1129147_11_0_0","Load Power (p83106)","695.0","kW",
"2022-02-17 09:05:00","1129147_11_0_0","Load Power (p83106)","680.0","kW",
"2022-02-17 09:10:00","1129147_11_0_0","Load Power (p83106)","695.0","kW",
"2022-02-17 09:15:00","1129147_11_0_0","Load Power (p83106)","692.0","kW",
"2022-02-17 09:20:00","1129147_11_0_0","Load Power (p83106)","701.0","kW",
"2022-02-17 09:25:00","1129147_11_0_0","Load Power (p83106)","677.0","kW",
"2022-02-17 09:30:00","1129147_11_0_0","Load Power (p83106)","678.0","kW",
"2022-02-17 09:35:00","1129147_11_0_0","Load Power (p83106)","670.0","kW",
"2022-02-17 09:40:00","1129147_11_0_0","Load Power (p83106)","673.0","kW",
"2022-02-17 09:45:00","1129147_11_0_0","Load Power (p83106)","667.0","kW",
"2022-02-17 09:50:00","1129147_11_0_0","Load Power (p83106)","537.0","kW",
"2022-02-17 09:55:00","1129147_11_0_0","Load Power (p83106)","536.0","kW",
"2022-02-17 10:00:00","1129147_11_0_0","Load Power (p83106)","676.0","kW",
"2022-02-17 10:05:00","1129147_11_0_0","Load Power (p83106)","654.0","kW",
"2022-02-17 10:10:00","1129147_11_0_0","Load Power (p83106)","650.0","kW",
"2022-02-17 10:15:00","1129147_11_0_0","Load Power (p83106)","663.0","kW",
"2022-02-17 10:20:00","1129147_11_0_0","Load Power (p83106)","743.0","kW",
"2022-02-17 10:25:00","1129147_11_0_0","Load Power (p83106)","669.0","kW",
"2022-02-17 10:30:00","1129147_11_0_0","Load Power (p83106)","522.0","kW",
"2022-02-17 10:35:00","1129147_11_0_0","Load Power (p83106)","533.0","kW",
"2022-02-17 10:40:00","1129147_11_0_0","Load Power (p83106)","694.0","kW",
"2022-02-17 10:45:00","1129147_11_0_0","Load Power (p83106)","697.0","kW",
"2022-02-17 10:50:00","1129147_11_0_0","Load Power (p83106)","687.0","kW",
"2022-02-17 10:55:00","1129147_11_0_0","Load Power (p83106)","680.0","kW",
"2022-02-17 11:00:00","1129147_11_0_0","Load Power (p83106)","673.0","kW",
"2022-02-17 11:05:00","1129147_11_0_0","Load Power (p83106)","675.0","kW",
"2022-02-17 11:10:00","1129147_11_0_0","Load Power (p83106)","656.0","kW",
"2022-02-17 11:15:00","1129147_11_0_0","Load Power (p83106)","671.0","kW",
"2022-02-17 11:20:00","1129147_11_0_0","Load Power (p83106)","648.0","kW",
"2022-02-17 11:25:00","1129147_11_0_0","Load Power (p83106)","656.0","kW",
"2022-02-17 11:30:00","1129147_11_0_0","Load Power (p83106)","420.0","kW",
"2022-02-17 11:35:00","1129147_11_0_0","Load Power (p83106)","538.0","kW",
