"Date/Time","PointId Name","Point Name","Value","Units",
"2022-01-29 00:00:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:05:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:10:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:15:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:20:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:25:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:30:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:35:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:40:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:45:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:50:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 00:55:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:00:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:05:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:10:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:15:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:20:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:25:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:30:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:35:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:40:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:45:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:50:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 01:55:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:00:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:05:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:10:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:15:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:20:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:25:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:30:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:35:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:40:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:45:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:50:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 02:55:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:00:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:05:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:10:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:15:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:20:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:25:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:30:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:35:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:40:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:45:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:50:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 03:55:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:00:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:05:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:10:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:15:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:20:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:25:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:30:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:35:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:40:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:45:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:50:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 04:55:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:00:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:05:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:10:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:15:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:20:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:25:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:30:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:35:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:40:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:45:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:50:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 05:55:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:00:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:05:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:10:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:15:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:20:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:25:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:30:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:35:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:40:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:45:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:50:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 06:55:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 07:00:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 07:05:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 07:10:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 07:15:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 07:20:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 07:25:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 07:30:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 07:35:00","1129147_11_0_0","Load Power (p83106)","0.0","kW",
"2022-01-29 07:40:00","1129147_11_0_0","Load Power (p83106)","573.0","kW",
"2022-01-29 07:45:00","1129147_11_0_0","Load Power (p83106)","591.0","kW",
"2022-01-29 07:50:00","1129147_11_0_0","Load Power (p83106)","666.0","kW",
"2022-01-29 07:55:00","1129147_11_0_0","Load Power (p83106)","682.0","kW",
"2022-01-29 08:00:00","1129147_11_0_0","Load Power (p83106)","759.0","kW",
"2022-01-29 08:05:00","1129147_11_0_0","Load Power (p83106)","715.0","kW",
"2022-01-29 08:10:00","1129147_11_0_0","Load Power (p83106)","927.0","kW",
"2022-01-29 08:15:00","1129147_11_0_0","Load Power (p83106)","1013.0","kW",
"2022-01-29 08:20:00","1129147_11_0_0","Load Power (p83106)","1064.0","kW",
"2022-01-29 08:25:00","1129147_11_0_0","Load Power (p83106)","1203.0","kW",
"2022-01-29 08:30:00","1129147_11_0_0","Load Power (p83106)","1207.0","kW",
"2022-01-29 08:35:00","1129147_11_0_0","Load Power (p83106)","1234.0","kW",
"2022-01-29 08:40:00","1129147_11_0_0","Load Power (p83106)","1387.0","kW",
"2022-01-29 08:45:00","1129147_11_0_0","Load Power (p83106)","1569.0","kW",
"2022-01-29 08:50:00","1129147_11_0_0","Load Power (p83106)","1839.0","kW",
"2022-01-29 08:55:00","1129147_11_0_0","Load Power (p83106)","1816.0","kW",
"2022-01-29 09:00:00","1129147_11_0_0","Load Power (p83106)","2175.0","kW",
"2022-01-29 09:05:00","1129147_11_0_0","Load Power (p83106)","2486.0","kW",
"2022-01-29 09:10:00","1129147_11_0_0","Load Power (p83106)","2989.0","kW",
"2022-01-29 09:15:00","1129147_11_0_0","Load Power (p83106)","3331.0","kW",
"2022-01-29 09:20:00","1129147_11_0_0","Load Power (p83106)","3588.0","kW",
"2022-01-29 09:25:00","1129147_11_0_0","Load Power (p83106)","3736.0","kW",
"2022-01-29 09:30:00","1129147_11_0_0","Load Power (p83106)","4069.0","kW",
"2022-01-29 09:35:00","1129147_11_0_0","Load Power (p83106)","4085.0","kW",
"2022-01-29 09:40:00","1129147_11_0_0","Load Power (p83106)","4786.0","kW",
"2022-01-29 09:45:00","1129147_11_0_0","Load Power (p83106)","4995.0","kW",
"2022-01-29 09:50:00","1129147_11_0_0","Load Power (p83106)","5253.0","kW",
"2022-01-29 09:55:00","1129147_11_0_0","Load Power (p83106)","5687.0","kW",
"2022-01-29 10:00:00","1129147_11_0_0","Load Power (p83106)","5793.0","kW",
"2022-01-29 10:05:00","1129147_11_0_0","Load Power (p83106)","5904.0","kW",
"2022-01-29 10:10:00","1129147_11_0_0","Load Power (p83106)","6114.0","kW",
"2022-01-29 10:15:00","1129147_11_0_0","Load Power (p83106)","6146.0","kW",
"2022-01-29 10:20:00","1129147_11_0_0","Load Power (p83106)","5836.0","kW",
"2022-01-29 10:25:00","1129147_11_0_0","Load Power (p83106)","5256.0","kW",
"2022-01-29 10:30:00","1129147_11_0_0","Load Power (p83106)","5625.0","kW",
"2022-01-29 10:35:00","1129147_11_0_0","Load Power (p83106)","6000.0","kW",
"2022-01-29 10:40:00","1129147_11_0_0","Load Power (p83106)","6352.0","kW",
"2022-01-29 10:45:00","1129147_11_0_0","Load Power (p83106)","6446.0","kW",
"2022-01-29 10:50:00","1129147_11_0_0","Load Power (p83106)","6628.0","kW",
"2022-01-29 10:55:00","1129147_11_0_0","Load Power (p83106)","6878.0","kW",
"2022-01-29 11:00:00","1129147_11_0_0","Load Power (p83106)","6468.0","kW",
"2022-01-29 11:05:00","1129147_11_0_0","Load Power (p83106)","5712.0","kW",
"2022-01-29 11:10:00","1129147_11_0_0","Load Power (p83106)","5704.0","kW",
"2022-01-29 11:15:00","1129147_11_0_0","Load Power (p83106)","5323.0","kW",
"2022-01-29 11:20:00","1129147_11_0_0","Load Power (p83106)","6415.0","kW",
"2022-01-29 11:25:00","1129147_11_0_0","Load Power (p83106)","6462.0","kW",
"2022-01-29 11:30:00","1129147_11_0_0","Load Power (p83106)","6662.0","kW",
"2022-01-29 11:35:00","1129147_11_0_0","Load Power (p83106)","7260.0","kW",
"2022-01-29 11:40:00","1129147_11_0_0","Load Power (p83106)","6679.0","kW",
"2022-01-29 11:45:00","1129147_11_0_0","Load Power (p83106)","7576.0","kW",
"2022-01-29 11:50:00","1129147_11_0_0","Load Power (p83106)","7305.0","kW",
"2022-01-29 11:55:00","1129147_11_0_0","Load Power (p83106)","8380.0","kW",
"2022-01-29 12:00:00","1129147_11_0_0","Load Power (p83106)","7439.0","kW",
"2022-01-29 12:05:00","1129147_11_0_0","Load Power (p83106)","7517.0","kW",
"2022-01-29 12:10:00","1129147_11_0_0","Load Power (p83106)","7592.0","kW",
"2022-01-29 12:15:00","1129147_11_0_0","Load Power (p83106)","6797.0","kW",
"2022-01-29 12:20:00","1129147_11_0_0","Load Power (p83106)","8372.0","kW",
"2022-01-29 12:25:00","1129147_11_0_0","Load Power (p83106)","8069.0","kW",
"2022-01-29 12:30:00","1129147_11_0_0","Load Power (p83106)","7999.0","kW",
"2022-01-29 12:35:00","1129147_11_0_0","Load Power (p83106)","8143.0","kW",
"2022-01-29 12:40:00","1129147_11_0_0","Load Power (p83106)","8143.0","kW",
"2022-01-29 12:45:00","1129147_11_0_0","Load Power (p83106)","8721.0","kW",
"2022-01-29 12:50:00","1129147_11_0_0","Load Power (p83106)","8577.0","kW",
"2022-01-29 12:55:00","1129147_11_0_0","Load Power (p83106)","8478.0","kW",
"2022-01-29 13:00:00","1129147_11_0_0","Load Power (p83106)","8510.0","kW",
"2022-01-29 13:05:00","1129147_11_0_0","Load Power (p83106)","8378.0","kW",
"2022-01-29 13:10:00","1129147_11_0_0","Load Power (p83106)","8139.0","kW",
"2022-01-29 13:15:00","1129147_11_0_0","Load Power (p83106)","8613.0","kW",
"2022-01-29 13:20:00","1129147_11_0_0","Load Power (p83106)","8659.0","kW",
"2022-01-29 13:25:00","1129147_11_0_0","Load Power (p83106)","8629.0","kW",
"2022-01-29 13:30:00","1129147_11_0_0","Load Power (p83106)","8686.0","kW",
"2022-01-29 13:35:00","1129147_11_0_0","Load Power (p83106)","7628.0","kW",
"2022-01-29 13:40:00","1129147_11_0_0","Load Power (p83106)","8426.0","kW",
"2022-01-29 13:45:00","1129147_11_0_0","Load Power (p83106)","8602.0","kW",
"2022-01-29 13:50:00","1129147_11_0_0","Load Power (p83106)","8554.0","kW",
"2022-01-29 13:55:00","1129147_11_0_0","Load Power (p83106)","8882.0","kW",
"2022-01-29 14:00:00","1129147_11_0_0","Load Power (p83106)","8449.0","kW",
"2022-01-29 14:05:00","1129147_11_0_0","Load Power (p83106)","8158.0","kW",
"2022-01-29 14:10:00","1129147_11_0_0","Load Power (p83106)","8472.0","kW",
