"Date/Time","PointId Name","Point Name","Value","Units",
"2022-02-24 00:00:00","1129147_11_0_0","Load Power (p83106)","818.0","kW",
"2022-02-24 00:05:00","1129147_11_0_0","Load Power (p83106)","756.0","kW",
"2022-02-24 00:10:00","1129147_11_0_0","Load Power (p83106)","571.0","kW",
"2022-02-24 00:15:00","1129147_11_0_0","Load Power (p83106)","557.0","kW",
"2022-02-24 00:20:00","1129147_11_0_0","Load Power (p83106)","553.0","kW",
"2022-02-24 00:25:00","1129147_11_0_0","Load Power (p83106)","558.0","kW",
"2022-02-24 00:30:00","1129147_11_0_0","Load Power (p83106)","562.0","kW",
"2022-02-24 00:35:00","1129147_11_0_0","Load Power (p83106)","561.0","kW",
"2022-02-24 00:40:00","1129147_11_0_0","Load Power (p83106)","743.0","kW",
"2022-02-24 00:45:00","1129147_11_0_0","Load Power (p83106)","734.0","kW",
"2022-02-24 00:50:00","1129147_11_0_0","Load Power (p83106)","721.0","kW",
"2022-02-24 00:55:00","1129147_11_0_0","Load Power (p83106)","719.0","kW",
"2022-02-24 01:00:00","1129147_11_0_0","Load Power (p83106)","716.0","kW",
"2022-02-24 01:05:00","1129147_11_0_0","Load Power (p83106)","699.0","kW",
"2022-02-24 01:10:00","1129147_11_0_0","Load Power (p83106)","686.0","kW",
"2022-02-24 01:15:00","1129147_11_0_0","Load Power (p83106)","682.0","kW",
"2022-02-24 01:20:00","1129147_11_0_0","Load Power (p83106)","658.0","kW",
"2022-02-24 01:25:00","1129147_11_0_0","Load Power (p83106)","664.0","kW",
"2022-02-24 01:30:00","1129147_11_0_0","Load Power (p83106)","664.0","kW",
"2022-02-24 01:35:00","1129147_11_0_0","Load Power (p83106)","533.0","kW",
"2022-02-24 01:40:00","1129147_11_0_0","Load Power (p83106)","530.0","kW",
"2022-02-24 01:45:00","1129147_11_0_0","Load Power (p83106)","524.0","kW",
"2022-02-24 01:50:00","1129147_11_0_0","Load Power (p83106)","521.0","kW",
"2022-02-24 01:55:00","1129147_11_0_0","Load Power (p83106)","526.0","kW",
"2022-02-24 02:00:00","1129147_11_0_0","Load Power (p83106)","523.0","kW",
"2022-02-24 02:05:00","1129147_11_0_0","Load Power (p83106)","523.0","kW",
"2022-02-24 02:10:00","1129147_11_0_0","Load Power (p83106)","523.0","kW",
"2022-02-24 02:15:00","1129147_11_0_0","Load Power (p83106)","702.0","kW",
"2022-02-24 02:20:00","1129147_11_0_0","Load Power (p83106)","693.0","kW",
"2022-02-24 02:25:00","1129147_11_0_0","Load Power (p83106)","681.0","kW",
"2022-02-24 02:30:00","1129147_11_0_0","Load Power (p83106)","679.0","kW",
"2022-02-24 02:35:00","1129147_11_0_0","Load Power (p83106)","673.0","kW",
"2022-02-24 02:40:00","1129147_11_0_0","Load Power (p83106)","661.0","kW",
"2022-02-24 02:45:00","1129147_11_0_0","Load Power (p83106)","657.0","kW",
"2022-02-24 02:50:00","1129147_11_0_0","Load Power (p83106)","657.0","kW",
