"Date/Time","PointId Name","Point Name","Value","Units",
"2022-02-23 00:00:00","1129147_11_0_0","Load Power (p83106)","704.0","kW",
"2022-02-23 00:05:00","1129147_11_0_0","Load Power (p83106)","581.0","kW",
"2022-02-23 00:10:00","1129147_11_0_0","Load Power (p83106)","578.0","kW",
"2022-02-23 00:15:00","1129147_11_0_0","Load Power (p83106)","566.0","kW",
"2022-02-23 00:20:00","1129147_11_0_0","Load Power (p83106)","581.0","kW",
"2022-02-23 00:25:00","1129147_11_0_0","Load Power (p83106)","571.0","kW",
"2022-02-23 00:30:00","1129147_11_0_0","Load Power (p83106)","563.0","kW",
"2022-02-23 00:35:00","1129147_11_0_0","Load Power (p83106)","565.0","kW",
"2022-02-23 00:40:00","1129147_11_0_0","Load Power (p83106)","735.0","kW",
"2022-02-23 00:45:00","1129147_11_0_0","Load Power (p83106)","726.0","kW",
"2022-02-23 00:50:00","1129147_11_0_0","Load Power (p83106)","724.0","kW",
"2022-02-23 00:55:00","1129147_11_0_0","Load Power (p83106)","704.0","kW",
"2022-02-23 01:00:00","1129147_11_0_0","Load Power (p83106)","702.0","kW",
"2022-02-23 01:05:00","1129147_11_0_0","Load Power (p83106)","702.0","kW",
"2022-02-23 01:10:00","1129147_11_0_0","Load Power (p83106)","694.0","kW",
"2022-02-23 01:15:00","1129147_11_0_0","Load Power (p83106)","567.0","kW",
"2022-02-23 01:20:00","1129147_11_0_0","Load Power (p83106)","567.0","kW",
"2022-02-23 01:25:00","1129147_11_0_0","Load Power (p83106)","569.0","kW",
"2022-02-23 01:30:00","1129147_11_0_0","Load Power (p83106)","562.0","kW",
"2022-02-23 01:35:00","1129147_11_0_0","Load Power (p83106)","560.0","kW",
"2022-02-23 01:40:00","1129147_11_0_0","Load Power (p83106)","566.0","kW",
"2022-02-23 01:45:00","1129147_11_0_0","Load Power (p83106)","557.0","kW",
"2022-02-23 01:50:00","1129147_11_0_0","Load Power (p83106)","745.0","kW",
"2022-02-23 01:55:00","1129147_11_0_0","Load Power (p83106)","739.0","kW",
"2022-02-23 02:00:00","1129147_11_0_0","Load Power (p83106)","723.0","kW",
"2022-02-23 02:05:00","1129147_11_0_0","Load Power (p83106)","712.0","kW",
"2022-02-23 02:10:00","1129147_11_0_0","Load Power (p83106)","715.0","kW",
"2022-02-23 02:15:00","1129147_11_0_0","Load Power (p83106)","703.0","kW",
"2022-02-23 02:20:00","1129147_11_0_0","Load Power (p83106)","699.0","kW",
"2022-02-23 02:25:00","1129147_11_0_0","Load Power (p83106)","563.0","kW",
"2022-02-23 02:30:00","1129147_11_0_0","Load Power (p83106)","567.0","kW",
"2022-02-23 02:35:00","1129147_11_0_0","Load Power (p83106)","558.0","kW",
"2022-02-23 02:40:00","1129147_11_0_0","Load Power (p83106)","557.0","kW",
"2022-02-23 02:45:00","1129147_11_0_0","Load Power (p83106)","566.0","kW",
"2022-02-23 02:50:00","1129147_11_0_0","Load Power (p83106)","571.0","kW",
"2022-02-23 02:55:00","1129147_11_0_0","Load Power (p83106)","571.0","kW",
"2022-02-23 03:00:00","1129147_11_0_0","Load Power (p83106)","573.0","kW",
"2022-02-23 03:05:00","1129147_11_0_0","Load Power (p83106)","765.0","kW",
"2022-02-23 03:10:00","1129147_11_0_0","Load Power (p83106)","752.0","kW",
"2022-02-23 03:15:00","1129147_11_0_0","Load Power (p83106)","723.0","kW",
"2022-02-23 03:20:00","1129147_11_0_0","Load Power (p83106)","717.0","kW",
"2022-02-23 03:25:00","1129147_11_0_0","Load Power (p83106)","714.0","kW",
"2022-02-23 03:30:00","1129147_11_0_0","Load Power (p83106)","714.0","kW",
"2022-02-23 03:35:00","1129147_11_0_0","Load Power (p83106)","709.0","kW",
