"Date/Time","PointId Name","Point Name","Value","Units",
"2022-02-15 00:00:00","1129147_11_0_0","Load Power (p83106)","643.0","kW",
"2022-02-15 00:05:00","1129147_11_0_0","Load Power (p83106)","752.0","kW",
"2022-02-15 00:10:00","1129147_11_0_0","Load Power (p83106)","749.0","kW",
"2022-02-15 00:15:00","1129147_11_0_0","Load Power (p83106)","745.0","kW",
"2022-02-15 00:20:00","1129147_11_0_0","Load Power (p83106)","827.0","kW",
"2022-02-15 00:25:00","1129147_11_0_0","Load Power (p83106)","811.0","kW",
"2022-02-15 00:30:00","1129147_11_0_0","Load Power (p83106)","782.0","kW",
"2022-02-15 00:35:00","1129147_11_0_0","Load Power (p83106)","789.0","kW",
"2022-02-15 00:40:00","1129147_11_0_0","Load Power (p83106)","906.0","kW",
"2022-02-15 00:45:00","1129147_11_0_0","Load Power (p83106)","748.0","kW",
"2022-02-15 00:50:00","1129147_11_0_0","Load Power (p83106)","652.0","kW",
"2022-02-15 00:55:00","1129147_11_0_0","Load Power (p83106)","650.0","kW",
"2022-02-15 01:00:00","1129147_11_0_0","Load Power (p83106)","651.0","kW",
"2022-02-15 01:05:00","1129147_11_0_0","Load Power (p83106)","583.0","kW",
"2022-02-15 01:10:00","1129147_11_0_0","Load Power (p83106)","636.0","kW",
"2022-02-15 01:15:00","1129147_11_0_0","Load Power (p83106)","761.0","kW",
"2022-02-15 01:20:00","1129147_11_0_0","Load Power (p83106)","927.0","kW",
"2022-02-15 01:25:00","1129147_11_0_0","Load Power (p83106)","804.0","kW",
"2022-02-15 01:30:00","1129147_11_0_0","Load Power (p83106)","801.0","kW",
"2022-02-15 01:35:00","1129147_11_0_0","Load Power (p83106)","846.0","kW",
"2022-02-15 01:40:00","1129147_11_0_0","Load Power (p83106)","1088.0","kW",
"2022-02-15 01:45:00","1129147_11_0_0","Load Power (p83106)","1067.0","kW",
"2022-02-15 01:50:00","1129147_11_0_0","Load Power (p83106)","1238.0","kW",
"2022-02-15 01:55:00","1129147_11_0_0","Load Power (p83106)","875.0","kW",
"2022-02-15 02:00:00","1129147_11_0_0","Load Power (p83106)","717.0","kW",
"2022-02-15 02:05:00","1129147_11_0_0","Load Power (p83106)","731.0","kW",
"2022-02-15 02:10:00","1129147_11_0_0","Load Power (p83106)","558.0","kW",
"2022-02-15 02:15:00","1129147_11_0_0","Load Power (p83106)","553.0","kW",
"2022-02-15 02:20:00","1129147_11_0_0","Load Power (p83106)","799.0","kW",
"2022-02-15 02:25:00","1129147_11_0_0","Load Power (p83106)","886.0","kW",
"2022-02-15 02:30:00","1129147_11_0_0","Load Power (p83106)","893.0","kW",
"2022-02-15 02:35:00","1129147_11_0_0","Load Power (p83106)","844.0","kW",
"2022-02-15 02:40:00","1129147_11_0_0","Load Power (p83106)","834.0","kW",
"2022-02-15 02:45:00","1129147_11_0_0","Load Power (p83106)","837.0","kW",
"2022-02-15 02:50:00","1129147_11_0_0","Load Power (p83106)","818.0","kW",
"2022-02-15 02:55:00","1129147_11_0_0","Load Power (p83106)","810.0","kW",
"2022-02-15 03:00:00","1129147_11_0_0","Load Power (p83106)","917.0","kW",
"2022-02-15 03:05:00","1129147_11_0_0","Load Power (p83106)","904.0","kW",
"2022-02-15 03:10:00","1129147_11_0_0","Load Power (p83106)","863.0","kW",
"2022-02-15 03:15:00","1129147_11_0_0","Load Power (p83106)","656.0","kW",
"2022-02-15 03:20:00","1129147_11_0_0","Load Power (p83106)","646.0","kW",
"2022-02-15 03:25:00","1129147_11_0_0","Load Power (p83106)","647.0","kW",
"2022-02-15 03:30:00","1129147_11_0_0","Load Power (p83106)","640.0","kW",
"2022-02-15 03:35:00","1129147_11_0_0","Load Power (p83106)","637.0","kW",
"2022-02-15 03:40:00","1129147_11_0_0","Load Power (p83106)","944.0","kW",
"2022-02-15 03:45:00","1129147_11_0_0","Load Power (p83106)","909.0","kW",
"2022-02-15 03:50:00","1129147_11_0_0","Load Power (p83106)","813.0","kW",
"2022-02-15 03:55:00","1129147_11_0_0","Load Power (p83106)","821.0","kW",
"2022-02-15 04:00:00","1129147_11_0_0","Load Power (p83106)","803.0","kW",
"2022-02-15 04:05:00","1129147_11_0_0","Load Power (p83106)","793.0","kW",
"2022-02-15 04:10:00","1129147_11_0_0","Load Power (p83106)","792.0","kW",
"2022-02-15 04:15:00","1129147_11_0_0","Load Power (p83106)","771.0","kW",
"2022-02-15 04:20:00","1129147_11_0_0","Load Power (p83106)","764.0","kW",
"2022-02-15 04:25:00","1129147_11_0_0","Load Power (p83106)","669.0","kW",
"2022-02-15 04:30:00","1129147_11_0_0","Load Power (p83106)","630.0","kW",
"2022-02-15 04:35:00","1129147_11_0_0","Load Power (p83106)","557.0","kW",
"2022-02-15 04:40:00","1129147_11_0_0","Load Power (p83106)","765.0","kW",
"2022-02-15 04:45:00","1129147_11_0_0","Load Power (p83106)","761.0","kW",
"2022-02-15 04:50:00","1129147_11_0_0","Load Power (p83106)","743.0","kW",
"2022-02-15 04:55:00","1129147_11_0_0","Load Power (p83106)","894.0","kW",
"2022-02-15 05:00:00","1129147_11_0_0","Load Power (p83106)","888.0","kW",
"2022-02-15 05:05:00","1129147_11_0_0","Load Power (p83106)","784.0","kW",
"2022-02-15 05:10:00","1129147_11_0_0","Load Power (p83106)","653.0","kW",
"2022-02-15 05:15:00","1129147_11_0_0","Load Power (p83106)","649.0","kW",
"2022-02-15 05:20:00","1129147_11_0_0","Load Power (p83106)","595.0","kW",
"2022-02-15 05:25:00","1129147_11_0_0","Load Power (p83106)","642.0","kW",
"2022-02-15 05:30:00","1129147_11_0_0","Load Power (p83106)","645.0","kW",
"2022-02-15 05:35:00","1129147_11_0_0","Load Power (p83106)","751.0","kW",
"2022-02-15 05:40:00","1129147_11_0_0","Load Power (p83106)","855.0","kW",
"2022-02-15 05:45:00","1129147_11_0_0","Load Power (p83106)","822.0","kW",
"2022-02-15 05:50:00","1129147_11_0_0","Load Power (p83106)","794.0","kW",
"2022-02-15 05:55:00","1129147_11_0_0","Load Power (p83106)","790.0","kW",
"2022-02-15 06:00:00","1129147_11_0_0","Load Power (p83106)","794.0","kW",
"2022-02-15 06:05:00","1129147_11_0_0","Load Power (p83106)","792.0","kW",
"2022-02-15 06:10:00","1129147_11_0_0","Load Power (p83106)","725.0","kW",
"2022-02-15 06:15:00","1129147_11_0_0","Load Power (p83106)","658.0","kW",
"2022-02-15 06:20:00","1129147_11_0_0","Load Power (p83106)","665.0","kW",
"2022-02-15 06:25:00","1129147_11_0_0","Load Power (p83106)","607.0","kW",
"2022-02-15 06:30:00","1129147_11_0_0","Load Power (p83106)","539.0","kW",
"2022-02-15 06:35:00","1129147_11_0_0","Load Power (p83106)","543.0","kW",
"2022-02-15 06:40:00","1129147_11_0_0","Load Power (p83106)","690.0","kW",
"2022-02-15 06:45:00","1129147_11_0_0","Load Power (p83106)","688.0","kW",
"2022-02-15 06:50:00","1129147_11_0_0","Load Power (p83106)","685.0","kW",
"2022-02-15 06:55:00","1129147_11_0_0","Load Power (p83106)","792.0","kW",
"2022-02-15 07:00:00","1129147_11_0_0","Load Power (p83106)","789.0","kW",
"2022-02-15 07:05:00","1129147_11_0_0","Load Power (p83106)","538.0","kW",
"2022-02-15 07:10:00","1129147_11_0_0","Load Power (p83106)","539.0","kW",
"2022-02-15 07:15:00","1129147_11_0_0","Load Power (p83106)","536.0","kW",
"2022-02-15 07:20:00","1129147_11_0_0","Load Power (p83106)","541.0","kW",
"2022-02-15 07:25:00","1129147_11_0_0","Load Power (p83106)","2544.0","kW",
"2022-02-15 07:30:00","1129147_11_0_0","Load Power (p83106)","817.0","kW",
"2022-02-15 07:35:00","1129147_11_0_0","Load Power (p83106)","883.0","kW",
"2022-02-15 07:40:00","1129147_11_0_0","Load Power (p83106)","585.0","kW",
"2022-02-15 07:45:00","1129147_11_0_0","Load Power (p83106)","2345.0","kW",
"2022-02-15 07:50:00","1129147_11_0_0","Load Power (p83106)","581.0","kW",
"2022-02-15 07:55:00","1129147_11_0_0","Load Power (p83106)","642.0","kW",
"2022-02-15 08:00:00","1129147_11_0_0","Load Power (p83106)","654.0","kW",
"2022-02-15 08:05:00","1129147_11_0_0","Load Power (p83106)","643.0","kW",
"2022-02-15 08:10:00","1129147_11_0_0","Load Power (p83106)","833.0","kW",
"2022-02-15 08:15:00","1129147_11_0_0","Load Power (p83106)","755.0","kW",
"2022-02-15 08:20:00","1129147_11_0_0","Load Power (p83106)","562.0","kW",
"2022-02-15 08:25:00","1129147_11_0_0","Load Power (p83106)","558.0","kW",
"2022-02-15 08:30:00","1129147_11_0_0","Load Power (p83106)","600.0","kW",
"2022-02-15 08:35:00","1129147_11_0_0","Load Power (p83106)","697.0","kW",
"2022-02-15 08:40:00","1129147_11_0_0","Load Power (p83106)","620.0","kW",
