+------------+-----+--------+----------+------------------------------------------------+----------------------------------------+----------------+
| DeviceType | Id  | Period | Point Id | Point Name                                     | Show Point Name                        | Translation Id |
| 4          | 590 | 3      | 1016     | Ipv-8                                          | Ipv-8                                  | 1021728        |
| 4          | 591 | 3      | 1017     | Ipv-9                                          | Ipv-9                                  | 1021740        |
| 4          | 592 | 3      | 1018     | Ipv-10                                         | Ipv-10                                 | 1021384        |
| 4          | 593 | 3      | 1019     | Ipv-11                                         | Ipv-11                                 | 1021396        |
| 4          | 594 | 3      | 1020     | Ipv-12                                         | Ipv-12                                 | 1021408        |
| 4          | 595 | 3      | 1021     | Ipv-13                                         | Ipv-13                                 | 1021420        |
| 4          | 596 | 3      | 1022     | Ipv-14                                         | Ipv-14                                 | 1021432        |
| 4          | 597 | 3      | 1023     | Ipv-15                                         | Ipv-15                                 | 1021444        |
| 4          | 598 | 3      | 1024     | Ipv-16                                         | Ipv-16                                 | 1021456        |
| 4          | 599 | 3      | 1006     | Total DC Power                                 | Total Power                            | 1025396        |
| 5          | 600 | 2      | 2001     | Daily Horizontal Irradiation                   | Daily Horizontal Irradiation           | 1022894        |
| 11         | 601 | 1      | 83033    | Plant Power                                    | Power                                  | 1018712        |
| 14         | 603 | 1      | 13112    | Daily PV Yield                                 | Daily PV Yield                         | 1512960        |
| 7          | 604 | 0      | 8018     | Meter Active Power                             | Active Power                           | 1023501        |
| 1          | 607 | 2      | 2        | Total Yield                                    | Total Yield                            | 1023740        |
| 1          | 608 | 3      | 2        | Total Yield                                    | Total Yield                            | 1023740        |
| 11         | 609 | 2      | 83004    | Inverter Total Yield                           | Total Yield (Inverter)                 | 1022599        |
| 11         | 610 | 2      | 83020    | Meter Total Yield                              | Total Power Consumption (Meter)        | 1022602        |
| 11         | 611 | 2      | 83021    | Accumulative Power Consumption by Meter        | Total Power Consumption (Meter)        | 1022602        |
| 11         | 612 | 2      | 83024    | Plant Total Yield                              | Total Yield                            | 1023740        |
| 11         | 613 | 3      | 83004    | Inverter Total Yield                           | Total Yield (Inverter)                 | 1022599        |
| 11         | 614 | 3      | 83020    | Meter Total Yield                              | Total Yield (Meter)                    | 1321640        |
| 11         | 615 | 3      | 83021    | Accumulative Power Consumption by Meter        | Total Power Consumption (Meter)        | 1022602        |
| 11         | 616 | 3      | 83024    | Plant Total Yield                              | Total Yield                            | 1023740        |
| 14         | 617 | 1      | 13134    | Total PV Yield                                 | Total PV Yield                         | 1512961        |
| 14         | 618 | 1      | 13147    | Daily Purchased Energy                         | Daily Purchased Energy                 | 1515654        |
| 14         | 619 | 1      | 13148    | Total Purchased Energy                         | Total Purchased Energy                 | 1515655        |
| 14         | 620 | 1      | 13122    | Daily Feed-in Energy                           | Daily Feed-in Energy                   | 1515652        |
| 14         | 621 | 1      | 13125    | Total Feed-in Energy                           | Total Feed-in Energy                   | 1515653        |
| 14         | 622 | 1      | 13116    | Daily Load Energy Consumption from PV          | Daily Load Energy Consumption from PV  | 1512984        |
| 14         | 623 | 1      | 13137    | Total Load Energy Consumption from PV          | Total Load Energy Consumption from PV  | 1512985        |
| 14         | 624 | 1      | 13028    | Daily Battery Charging Energy                  | Daily Battery Charging Energy          | 1515661        |
| 14         | 625 | 1      | 13029    | Daily Battery Discharging Energy               | Daily Battery Discharging Energy       | 1512967        |
| 14         | 626 | 1      | 13034    | Total Battery Charging Energy                  | Total Battery Charging Energy          | 1515662        |
| 14         | 627 | 1      | 13035    | Total Battery Discharging Energy               | Total Battery Discharging Energy       | 1512970        |
| 14         | 628 | 2      | 13134    | Total PV Yield                                 | Total PV Yield                         | 1512961        |
| 14         | 629 | 2      | 13034    | Total Battery Charging Energy                  | Total Battery Charging Energy          | 1515662        |
| 14         | 630 | 2      | 13035    | Total Battery Discharging Energy               | Total Battery Discharging Energy       | 1512970        |
| 14         | 631 | 2      | 13125    | Total Feed-in Energy                           | Total Feed-in Energy                   | 1515653        |
| 14         | 632 | 3      | 13134    | Total PV Yield                                 | Total PV Yield                         | 1512961        |
| 14         | 633 | 3      | 13034    | Total Battery Charging Energy                  | Total Battery Charging Energy          | 1515662        |
| 14         | 634 | 3      | 13035    | Total Battery Discharging Energy               | Total Battery Discharging Energy       | 1512970        |
| 14         | 635 | 3      | 13125    | Total Feed-in Energy                           | Total Feed-in Energy                   | 1515653        |
| 1          | 636 | 0      | 1        | Daily Yield                                    | Daily Yield                            | 1022978        |
| 1          | 637 | 0      | 24       | Total Active Power                             | Total Active Power                     | 1018169        |
| 1          | 638 | 0      | 25       | Total Reactive Power                           | Reactive Power                         | 1023299        |
| 1          | 639 | 0      | 805      | Equivalent Power Generating Hours              | Daily Equivalent Hours                 | 1022975        |
| 1          | 640 | 0      | 67       | Daily Yield (Theoretical)                      | Daily Yield (Theoretical)              | 1022996        |
| 1          | 641 | 0      | 68       | Power Generation Hours (Theoretical)           | Power Generation Hours (Theoretical)   | 1022604        |
| 1          | 642 | 4      | 1        | Daily Yield                                    | Daily Yield                            | 1022978        |
| 1          | 643 | 4      | 2        | Total Yield                                    | Total Yield                            | 1023740        |
| 1          | 644 | 4      | 805      | Equivalent Power Generating Hours              | Daily Equivalent Hours                 | 1022975        |
| 1          | 645 | 4      | 67       | Daily Yield (Theoretical)                      | Daily Yield (Theoretical)              | 1022996        |
| 1          | 646 | 4      | 68       | Power Generation Hours (Theoretical)           | Power Generation Hours (Theoretical)   | 1022604        |
| 11         | 647 | 0      | 83022    | Daily Yield of Plant                           | Daily Yield                            | 1022978        |
| 11         | 648 | 0      | 83018    | Daily Yield (Theoretical)                      | Daily Yield (Theoretical)              | 1022996        |
| 11         | 649 | 0      | 83001    | Inverter AC Power Normalization                | AC Power Normalization (Inverter)      | 1022496        |
| 11         | 650 | 0      | 83002    | Inverter AC Power                              | AC Power (Inverter)                    | 1022494        |
| 11         | 651 | 0      | 83004    | Inverter Total Yield                           | Total Yield (Inverter)                 | 1022599        |
| 11         | 652 | 0      | 83009    | Daily Yield by Inverter                        | Daily Yield (Inverter)                 | 1022980        |
| 11         | 653 | 0      | 83008    | Daily Equivalent Hours of Inverter             | Daily Yield Equivalent Hour (Inverter) | 1022982        |
| 11         | 654 | 0      | 83010    | Inverter PR                                    | PR (Inverter)                          | 1020959        |
| 11         | 655 | 0      | 83032    | Meter AC Power                                 | AC Power (Meter)                       | 1022493        |
| 11         | 656 | 0      | 83020    | Meter Total Yield                              | Total Yield (Meter)                    | 1321640        |
| 11         | 657 | 0      | 83006    | Meter Daily Yield                              | Daily Yield (Meter)                    | 1022979        |
| 11         | 658 | 0      | 83005    | Daily Equivalent Hours of Meter                | Daily Yield Equivalent Hour (Meter)    | 1022981        |
| 11         | 659 | 0      | 83007    | Meter PR                                       | PR (Meter)                             | 1020958        |
| 11         | 660 | 0      | 83021    | Accumulative Power Consumption by Meter        | Total Power Consumption (Meter)        | 1022602        |
| 11         | 661 | 0      | 83011    | Meter E-daily Consumption                      | Daily Energy Consumption (Meter)       | 1023002        |
| 11         | 662 | 0      | 83019    | Power/Installed Power of Plant                 | Power/Load                             | 1026946        |
| 11         | 663 | 0      | 83012    | P-radiation-H                                  | Transient Horizontal Irradiation       | 1025829        |
| 11         | 664 | 0      | 83013    | Daily Irradiation                              | Daily Irradiation                      | 1024771        |
| 11         | 665 | 0      | 83016    | Plant Ambient Temperature                      | Ambient Temperature                    | 1022386        |
| 11         | 666 | 0      | 83017    | Plant Module Temperature                       | Temp. (PV module)                      | 1019203        |
| 11         | 667 | 0      | 83023    | Plant PR                                       | PR                                     | 1020957        |
| 11         | 668 | 0      | 83024    | Plant Total Yield                              | Total Yield                            | 1023740        |
| 11         | 669 | 0      | 83025    | Plant Equivalent Hours                         | Daily Equivalent Hours                 | 1022975        |
| 11         | 670 | 0      | 83033    | Plant Power                                    | Power                                  | 1018712        |
| 11         | 671 | 4      | 83022    | Daily Yield of Plant                           | Daily Yield                            | 1022978        |
| 11         | 672 | 4      | 83018    | Daily Yield (Theoretical)                      | Daily Yield (Theoretical)              | 1022996        |
| 11         | 673 | 4      | 83001    | Inverter AC Power Normalization                | AC Power Normalization (Inverter)      | 1022496        |
| 11         | 674 | 4      | 83002    | Inverter AC Power                              | AC Power (Inverter)                    | 1022494        |
| 11         | 675 | 4      | 83004    | Inverter Total Yield                           | Total Yield (Inverter)                 | 1022599        |
| 11         | 676 | 4      | 83009    | Daily Yield by Inverter                        | Daily Yield (Inverter)                 | 1022980        |
| 11         | 677 | 4      | 83008    | Daily Equivalent Hours of Inverter             | Daily Yield Equivalent Hour (Inverter) | 1022982        |
| 11         | 678 | 4      | 83010    | Inverter PR                                    | PR (Inverter)                          | 1020959        |
| 11         | 679 | 4      | 83032    | Meter AC Power                                 | AC Power (Meter)                       | 1022493        |
| 11         | 680 | 4      | 83020    | Meter Total Yield                              | Total Yield (Meter)                    | 1321640        |
| 11         | 681 | 4      | 83006    | Meter Daily Yield                              | Daily Yield (Meter)                    | 1022979        |
| 11         | 682 | 4      | 83005    | Daily Equivalent Hours of Meter                | Daily Yield Equivalent Hour (Meter)    | 1022981        |
| 11         | 683 | 4      | 83007    | Meter PR                                       | PR (Meter)                             | 1020958        |
| 11         | 684 | 4      | 83021    | Accumulative Power Consumption by Meter        | Total Power Consumption (Meter)        | 1022602        |
| 11         | 685 | 4      | 83011    | Meter E-daily Consumption                      | Daily Energy Consumption (Meter)       | 1023002        |
| 11         | 686 | 4      | 83019    | Power/Installed Power of Plant                 | Power/Load                             | 1026946        |
| 11         | 687 | 4      | 83012    | P-radiation-H                                  | Transient Horizontal Irradiation       | 1025829        |
| 11         | 688 | 4      | 83013    | Daily Irradiation                              | Daily Irradiation                      | 1024771        |
| 11         | 689 | 4      | 83016    | Plant Ambient Temperature                      | Ambient Temperature                    | 1022386        |
| 11         | 690 | 4      | 83017    | Plant Module Temperature                       | Temp. (PV module)                      | 1019203        |
| 11         | 691 | 4      | 83023    | Plant PR                                       | PR                                     | 1020957        |
| 11         | 692 | 4      | 83024    | Plant Total Yield                              | Total Yield                            | 1023740        |
| 11         | 693 | 4      | 83025    | Plant Equivalent Hours                         | Daily Equivalent Hours                 | 1022975        |
| 11         | 694 | 4      | 83033    | Plant Power                                    | Power                                  | 1018712        |
| 17         | 695 | 0      | 81012    | Daily Yield by Inverter                        | Daily Yield (Inverter)                 | 1022980        |
| 17         | 696 | 0      | 81001    | Inverter AC Power Normalization                | AC Power Normalization (Inverter)      | 1022496        |
| 17         | 697 | 0      | 81002    | Inverter AC Power                              | AC Power (Inverter)                    | 1022494        |
| 17         | 698 | 0      | 81003    | Inverter DC Power Normalization                | DC Power Normalization (Inverter)      | 1023636        |
| 17         | 699 | 0      | 81004    | Inverter DC Power                              | DC Power (Inverter)                    | 1023635        |
| 17         | 700 | 0      | 81007    | Inverter Total Yield                           | Total Yield (Inverter)                 | 1022599        |
| 17         | 701 | 0      | 81011    | Inverter Equivalent Hours                      | Daily Yield Equivalent Hour (Inverter) | 1022982        |
| 17         | 702 | 0      | 81022    | Unit PR                                        | PR                                     | 1020957        |
| 17         | 703 | 0      | 81023    | Unit Daily Yield                               | Daily Yield                            | 1022978        |
| 17         | 704 | 0      | 81025    | Unit Yield (Theoretical)                       | Daily Yield (Theoretical)              | 1022996        |
| 17         | 705 | 4      | 81012    | Daily Yield by Inverter                        | Daily Yield (Inverter)                 | 1022980        |
| 17         | 706 | 4      | 81001    | Inverter AC Power Normalization                | AC Power Normalization (Inverter)      | 1022496        |
| 17         | 707 | 4      | 81002    | Inverter AC Power                              | AC Power (Inverter)                    | 1022494        |
| 17         | 708 | 4      | 81003    | Inverter DC Power Normalization                | DC Power Normalization (Inverter)      | 1023636        |
| 17         | 709 | 4      | 81004    | Inverter DC Power                              | DC Power (Inverter)                    | 1023635        |
| 17         | 710 | 4      | 81007    | Inverter Total Yield                           | Total Yield (Inverter)                 | 1022599        |
| 17         | 711 | 4      | 81011    | Inverter Equivalent Hours                      | Daily Yield Equivalent Hour (Inverter) | 1022982        |
| 17         | 712 | 4      | 81022    | Unit PR                                        | PR                                     | 1020957        |
| 17         | 713 | 4      | 81023    | Unit Daily Yield                               | Daily Yield                            | 1022978        |
| 17         | 714 | 4      | 81025    | Unit Yield (Theoretical)                       | Daily Yield (Theoretical)              | 1022996        |
| 3          | 715 | 0      | 82016    | Daily Irradiation at Grid-connecting Point     | Daily Horizontal Irradiation           | 1022894        |
| 3          | 716 | 0      | 82001    | Inverter AC Power Normalization                | AC Power Normalization (Inverter)      | 1022496        |
| 3          | 717 | 0      | 82002    | Inverter AC Power                              | AC Power (Inverter)                    | 1022494        |
| 3          | 718 | 0      | 82003    | Inverter DC Power Normalization                | DC Power Normalization (Inverter)      | 1023636        |
| 3          | 719 | 0      | 82004    | Inverter DC Power                              | DC Power (Inverter)                    | 1023635        |
| 3          | 720 | 0      | 82007    | Inverter Total Yield                           | Total Yield (Inverter)                 | 1022599        |
| 3          | 721 | 0      | 82012    | Daily Yield by Inverter                        | Daily Yield (Inverter)                 | 1022980        |
| 3          | 722 | 0      | 82011    | Daily Equivalent Hours of Inverter             | Daily Yield Equivalent Hour (Inverter) | 1022982        |
| 3          | 723 | 0      | 82013    | Inverter PR                                    | PR (Inverter)                          | 1020959        |
| 3          | 724 | 0      | 82021    | Total Yield of Meter                           | Total Yield (Meter)                    | 1023741        |
| 3          | 725 | 0      | 82008    | Daily Equivalent Hours of Meter                | Daily Yield Equivalent Hour (Meter)    | 1022981        |
| 3          | 726 | 0      | 82010    | Meter PR                                       | PR (Meter)                             | 1020958        |
| 3          | 727 | 0      | 82022    | Total Energy Consumption by Meter              | Total Energy Consumption (Meter)       | 1023757        |
| 3          | 728 | 0      | 82014    | Meter E-daily Consumption                      | Daily Energy Consumption (Meter)       | 1023002        |
| 3          | 729 | 0      | 82015    | Transient Irradiation at Grid-connecting Point | Transient Horizontal Irradiation       | 1025829        |
| 3          | 730 | 0      | 82019    | Ambient Temperature                            | Ambient Temperature                    | 1022386        |
| 3          | 731 | 0      | 82020    | PV Module Temperature                          | Temp. (PV module)                      | 1019203        |
| 3          | 732 | 0      | 82023    | Meter Active Power                             | Active Power (Meter)                   | 1321690        |
| 3          | 733 | 0      | 82034    | Daily Yield (Theoretical)                      | Daily Yield (Theoretical)              | 1022996        |
| 3          | 734 | 0      | 82035    | Grid-connecting Point PR                       | PR                                     | 1020957        |
| 3          | 735 | 0      | 82038    | Equivalent Hours of Grid-connecting Point      | Daily Equivalent Hours                 | 1022975        |
| 3          | 736 | 0      | 82033    | Grid-connection Point Daily Yield              | Grid-connection Point Daily Yield      | 1021218        |
| 3          | 737 | 0      | 82039    | Grid-connection Point Total Yield              | Grid-connection Point Total Yield      | 1021222        |
| 3          | 738 | 4      | 82016    | Daily Irradiation at Grid-connecting Point     | Daily Horizontal Irradiation           | 1022894        |
| 3          | 739 | 4      | 82001    | Inverter AC Power Normalization                | AC Power Normalization (Inverter)      | 1022496        |
| 3          | 740 | 4      | 82002    | Inverter AC Power                              | AC Power (Inverter)                    | 1022494        |
| 3          | 741 | 4      | 82003    | Inverter DC Power Normalization                | DC Power Normalization (Inverter)      | 1023636        |
| 3          | 742 | 4      | 82004    | Inverter DC Power                              | DC Power (Inverter)                    | 1023635        |
| 3          | 743 | 4      | 82007    | Inverter Total Yield                           | Total Yield (Inverter)                 | 1022599        |
| 3          | 744 | 4      | 82012    | Daily Yield by Inverter                        | Daily Yield (Inverter)                 | 1022980        |
| 3          | 745 | 4      | 82011    | Daily Equivalent Hours of Inverter             | Daily Yield Equivalent Hour (Inverter) | 1022982        |
| 3          | 746 | 4      | 82013    | Inverter PR                                    | PR (Inverter)                          | 1020959        |
| 3          | 747 | 4      | 82021    | Total Yield of Meter                           | Total Yield (Meter)                    | 1023741        |
| 3          | 748 | 4      | 82008    | Daily Equivalent Hours of Meter                | Daily Yield Equivalent Hour (Meter)    | 1022981        |
| 3          | 749 | 4      | 82010    | Meter PR                                       | PR (Meter)                             | 1020958        |
| 3          | 750 | 4      | 82022    | Total Energy Consumption by Meter              | Total Energy Consumption (Meter)       | 1023757        |
| 3          | 751 | 4      | 82014    | Meter E-daily Consumption                      | Daily Energy Consumption (Meter)       | 1023002        |
| 3          | 752 | 4      | 82015    | Transient Irradiation at Grid-connecting Point | Transient Horizontal Irradiation       | 1025829        |
| 3          | 753 | 4      | 82019    | Ambient Temperature                            | Ambient Temperature                    | 1022386        |
| 3          | 754 | 4      | 82020    | PV Module Temperature                          | Temp. (PV module)                      | 1019203        |
| 3          | 755 | 4      | 82023    | Meter Active Power                             | Active Power (Meter)                   | 1321690        |
| 3          | 756 | 4      | 82034    | Daily Yield (Theoretical)                      | Daily Yield (Theoretical)              | 1022996        |
| 3          | 757 | 4      | 82035    | Grid-connecting Point PR                       | PR                                     | 1020957        |
| 3          | 758 | 4      | 82038    | Equivalent Hours of Grid-connecting Point      | Daily Equivalent Hours                 | 1022975        |
| 3          | 759 | 4      | 82033    | Grid-connection Point Daily Yield              | Grid-connection Point Daily Yield      | 1021218        |
| 3          | 760 | 4      | 82039    | Grid-connection Point Total Yield              | Grid-connection Point Total Yield      | 1021222        |
| 1          | 761 | 0      | 4        | Internal Air Temperature                       | Interior Temperature                   | 1018189        |
| 0          | 762 | 0      | 3        | Total On-grid Running Time                     |                                        | 0              |
| 7          | 763 | 0      | 8030     | Forward Active Energy                          | Forward Active Energy                  | 1023580        |
| 7          | 764 | 0      | 8062     | Daily Forward Active Energy                    | Daily Forward Active Energy            | 1023009        |
| 7          | 765 | 0      | 8063     | Daily Reverse Active Energy                    | Daily Reverse Active Energy            | 1022983        |
| 7          | 766 | 0      | 8031     | Reverse Active Energy                          | Reverse Active Energy                  | 1022019        |
| 7          | 767 | 0      | 8032     | Forward Reactive Energy                        | Forward Reactive Energy                | 1321692        |
| 7          | 768 | 0      | 8033     | Reverse Reactive Energy                        | Reverse Reactive Energy                | 1022016        |
| 7          | 769 | 4      | 8062     | Daily Forward Active Energy                    | Daily Forward Active Energy            | 1023009        |
| 7          | 770 | 4      | 8030     | Forward Active Energy                          | Forward Active Energy                  | 1023580        |
| 7          | 771 | 4      | 8063     | Daily Reverse Active Energy                    | Daily Reverse Active Energy            | 1022983        |
| 7          | 772 | 4      | 8031     | Reverse Active Energy                          | Reverse Active Energy                  | 1022019        |
| 7          | 773 | 4      | 8032     | Forward Reactive Energy                        | Forward Reactive Energy                | 1321692        |
| 7          | 774 | 4      | 8033     | Reverse Reactive Energy                        | Reverse Reactive Energy                | 1022016        |
| 1          | 775 | 0      | 18       | Phase A Voltage                                | Phase A Voltage                        | 1020764        |
| 1          | 776 | 0      | 19       | Phase B Voltage                                | Phase B Voltage                        | 1020792        |
| 1          | 777 | 0      | 20       | Phase C Voltage                                | Phase C Voltage                        | 1020835        |
| 1          | 778 | 0      | 21       | Phase A Current                                | Phase A Current                        | 1018151        |
| 1          | 779 | 0      | 22       | Phase B Current                                | Phase B Current                        | 1020789        |
| 1          | 780 | 0      | 23       | Phase C Current                                | Phase C Current                        | 1020832        |
| 1          | 781 | 0      | 86       | Pac-Nom.                                       | AC Power Normalization (Inverter)      | 1022496        |
| 1          | 782 | 0      | 5        | MPPT1 Voltage                                  | Udc-1                                  | 1512653        |
| 1          | 783 | 0      | 6        | MPPT1 Current                                  | Idc-1                                  | 1512656        |
| 1          | 784 | 0      | 7        | MPPT2 Voltage                                  | Udc-2                                  | 1516398        |
| 1          | 785 | 0      | 8        | MPPT2 Current                                  | Idc-2                                  | 1516400        |
| 1          | 786 | 0      | 9        | MPPT3 Voltage                                  | Udc-3                                  | 1516399        |
| 1          | 787 | 0      | 14       | Total DC Power                                 | Total DC Power                         | 1018154        |
| 1          | 788 | 0      | 26       | Total Power Factor                             | PF                                     | 1022252        |
| 1          | 789 | 0      | 27       | Grid Frequency                                 | Grid Frequency                         | 1510555        |
| 1          | 790 | 0      | 43       | Total Apparent Power                           | Apparent Power                         | 1018171        |
| 1          | 791 | 0      | 45       | MPPT4 Voltage                                  | Udc-4                                  | 1516405        |
| 1          | 792 | 0      | 46       | MPPT4 Current                                  | Idc-4                                  | 1516402        |
| 1          | 793 | 0      | 47       | MPPT5 Voltage                                  | Udc-5                                  | 1516406        |
| 1          | 794 | 0      | 48       | MPPT5 Current                                  | Idc-5                                  | 1516403        |
| 1          | 795 | 0      | 49       | MPPT6 Voltage                                  | Udc-6                                  | 1516407        |
| 1          | 796 | 0      | 50       | MPPT6 Current                                  | Idc-6                                  | 1516404        |
| 1          | 797 | 0      | 90       | Negative Voltage to Ground                     | Negative Voltage to Ground             | 1018190        |
| 14         | 798 | 0      | 13112    | Daily PV Yield                                 | Daily PV Yield                         | 1512960        |
| 14         | 799 | 0      | 13147    | Daily Purchased Energy                         | Daily Purchased Energy                 | 1515654        |
| 14         | 800 | 0      | 13122    | Daily Feed-in Energy                           | Daily Feed-in Energy                   | 1515652        |
| 14         | 801 | 0      | 13116    | Daily Load Energy Consumption from PV          | Daily Load Energy Consumption from PV  | 1512984        |
| 14         | 802 | 0      | 13028    | Daily Battery Charging Energy                  | Daily Battery Charging Energy          | 1515661        |
| 14         | 803 | 0      | 13174    | Daily Battery Charging Energy from PV          | Daily Battery Charging Energy from PV  | 1512969        |
| 14         | 804 | 0      | 13029    | Daily Battery Discharging Energy               | Daily Battery Discharging Energy       | 1512967        |
| 14         | 805 | 4      | 13112    | Daily PV Yield                                 | Daily PV Yield                         | 1512960        |
| 14         | 806 | 4      | 13134    | Total PV Yield                                 | Total PV Yield                         | 1512961        |
| 14         | 807 | 4      | 13147    | Daily Purchased Energy                         | Daily Purchased Energy                 | 1515654        |
| 14         | 808 | 4      | 13148    | Total Purchased Energy                         | Total Purchased Energy                 | 1515655        |
| 14         | 809 | 4      | 13122    | Daily Feed-in Energy                           | Daily Feed-in Energy                   | 1515652        |
| 14         | 810 | 4      | 13125    | Total Feed-in Energy                           | Total Feed-in Energy                   | 1515653        |
| 14         | 811 | 4      | 13116    | Daily Load Energy Consumption from PV          | Daily Load Energy Consumption from PV  | 1512984        |
| 14         | 812 | 4      | 13137    | Total Load Energy Consumption from PV          | Total Load Energy Consumption from PV  | 1512985        |
| 14         | 813 | 4      | 13028    | Daily Battery Charging Energy                  | Daily Battery Charging Energy          | 1515661        |
| 14         | 814 | 4      | 13029    | Daily Battery Discharging Energy               | Daily Battery Discharging Energy       | 1512967        |
| 14         | 815 | 4      | 13034    | Total Battery Charging Energy                  | Total Battery Charging Energy          | 1515662        |
| 14         | 816 | 4      | 13035    | Total Battery Discharging Energy               | Total Battery Discharging Energy       | 1512970        |
| 1          | 817 | 0      | 15       | A-B Line Voltage                               | A-B Line Voltage                       | 785            |
| 1          | 818 | 0      | 16       | B-C Line Voltage                               | B-C Line Voltage                       | 834            |
| 1          | 819 | 0      | 17       | C-A Line Voltage                               | C-A Line Voltage                       | 902            |
| 1          | 820 | 0      | 33       | Module 1 Temperature                           | Module Temperature A1                  | 1516412        |
| 1          | 821 | 0      | 34       | Module 2 Temperature                           | Module Temperature A2                  | 1516413        |
| 1          | 822 | 0      | 35       | Module 3 Temperature                           | Module Temperature B1                  | 1516414        |
| 1          | 823 | 0      | 36       | Module 4 Temperature                           | Module Temperature B2                  | 1516415        |
| 1          | 824 | 0      | 37       | Module 5 Temperature                           | Module Temperature C1                  | 1516416        |
| 1          | 825 | 0      | 38       | Module 6 Temperature                           | Module Temperature C2                  | 1516417        |
| 1          | 826 | 0      | 39       | Positive Impedance to Ground                   | Positive Impedance to Ground           | 1516418        |
| 1          | 827 | 0      | 40       | Negative Impedance to Ground                   | Negative Impedance to Ground           | 1516419        |
| 1          | 828 | 0      | 89       | Rated Reactive Power                           | Rated Reactive Power Output            | 1516420        |
| 11         | 829 | 0      | 83072    | Daily Feed-in Energy                           | Daily Feed-in Energy                   | 1515652        |
| 11         | 830 | 0      | 83075    | Total Feed-in Energy                           | Total Feed-in Energy                   | 1515653        |
| 11         | 831 | 1      | 83072    | Daily Feed-in Energy                           | Daily Feed-in Energy                   | 1515652        |
| 11         | 832 | 3      | 83075    | Total Feed-in Energy                           | Total Feed-in Energy                   | 1515653        |
| 11         | 833 | 2      | 83075    | Total Feed-in Energy                           | Total Feed-in Energy                   | 1515653        |
| 11         | 834 | 2      | 83072    | Daily Feed-in Energy                           | Daily Feed-in Energy                   | 1515652        |
| 11         | 835 | 3      | 83072    | Daily Feed-in Energy                           | Daily Feed-in Energy                   | 1515652        |
| 11         | 836 | 1      | 83075    | Total Feed-in Energy                           | Total Feed-in Energy                   | 1515653        |
| 11         | 837 | 0      | 83102    | Daily Purchased Energy                         | Daily Purchased Energy                 | 1515654        |
| 11         | 838 | 0      | 83105    | Total Purchased Energy                         | Total Purchased Energy                 | 1515655        |
| 11         | 839 | 1      | 83102    | Daily Purchased Energy                         | Daily Purchased Energy                 | 1515654        |
| 11         | 840 | 1      | 83105    | Total Purchased Energy                         | Total Purchased Energy                 | 1515655        |
| 11         | 841 | 2      | 83102    | Daily Purchased Energy                         | Daily Purchased Energy                 | 1515654        |
| 11         | 842 | 2      | 83105    | Total Purchased Energy                         | Total Purchased Energy                 | 1515655        |
| 11         | 843 | 3      | 83102    | Daily Purchased Energy                         | Daily Purchased Energy                 | 1515654        |
| 11         | 844 | 3      | 83105    | Total Purchased Energy                         | Total Purchased Energy                 | 1515655        |
| 4          | 845 | 0      | 1001     | DC Bus Voltage                                 | DC Bus Voltage                         | 1014345        |
| 4          | 846 | 0      | 1006     | Total DC Power                                 | Total DC Power                         | 1018154        |
| 4          | 847 | 0      | 1005     | Total DC Current                               | Total DC Current                       | 1004029        |
| 4          | 848 | 0      | 1002     | Interior Temperature                           | Interior Temperature                   | 1018189        |
| 1          | 849 | 0      | 10       | MPPT3 Current                                  | Idc-3                                  | 4254           |
+------------+-----+--------+----------+------------------------------------------------+----------------------------------------+----------------+
