+------------+-----+--------+----------+------------------------------------------------+----------------------------------------+----------------+
| DeviceType | Id  | Period | Point Id | Point Name                                     | Show Point Name                        | Translation Id |
| 3          | 101 | 1      | 82012    | Daily Yield by Inverter                        | Daily Yield (Inverter)                 | 1022980        |
| 3          | 102 | 1      | 82011    | Daily Equivalent Hours of Inverter             | Daily Yield Equivalent Hour (Inverter) | 1022982        |
| 3          | 103 | 1      | 82013    | Inverter PR                                    | PR (Inverter)                          | 1020959        |
| 3          | 104 | 1      | 82021    | Total Yield of Meter                           | Total Yield (Meter)                    | 1023741        |
| 3          | 106 | 1      | 82008    | Daily Equivalent Hours of Meter                | Daily Yield Equivalent Hour (Meter)    | 1022981        |
| 3          | 107 | 1      | 82010    | Meter PR                                       | PR (Meter)                             | 1020958        |
| 3          | 108 | 1      | 82022    | Total Energy Consumption by Meter              | Total Energy Consumption (Meter)       | 1023757        |
| 3          | 109 | 1      | 82014    | Meter E-daily Consumption                      | Daily Energy Consumption (Meter)       | 1023002        |
| 3          | 110 | 1      | 82015    | Transient Irradiation at Grid-connecting Point | Transient Horizontal Irradiation       | 1025829        |
| 3          | 111 | 1      | 82019    | Ambient Temperature                            | Ambient Temperature                    | 1022386        |
| 3          | 112 | 1      | 82020    | PV Module Temperature                          | Temp. (PV module)                      | 1019203        |
| 3          | 113 | 1      | 82023    | Meter Active Power                             | Active Power (Meter)                   | 1321690        |
| 3          | 114 | 1      | 82034    | Daily Yield (Theoretical)                      | Daily Yield (Theoretical)              | 1022996        |
| 3          | 115 | 1      | 82035    | Grid-connecting Point PR                       | PR                                     | 1020957        |
| 3          | 116 | 1      | 82038    | Equivalent Hours of Grid-connecting Point      | Daily Equivalent Hours                 | 1022975        |
| 3          | 117 | 1      | 82033    | Grid-connection Point Daily Yield              | Grid-connection Point Daily Yield      | 1021218        |
| 3          | 118 | 1      | 82039    | Grid-connection Point Total Yield              | Grid-connection Point Total Yield      | 1021222        |
| 3          | 125 | 2      | 82012    | Daily Yield by Inverter                        | Monthly Yield (Inverter)               | 1321641        |
| 3          | 126 | 2      | 82011    | Daily Equivalent Hours of Inverter             | Monthly Equivalent Hours (Inverter)    | 1321674        |
| 3          | 127 | 2      | 82013    | Inverter PR                                    | PR (Inverter)                          | 1020959        |
| 3          | 129 | 2      | 82009    | Meter Daily Yield                              | Monthly Yield (Meter)                  | 1321672        |
| 3          | 130 | 2      | 82008    | Daily Equivalent Hours of Meter                | Monthly Equivalent Hours (Meter)       | 1321673        |
| 3          | 131 | 2      | 82010    | Meter PR                                       | PR (Meter)                             | 1020958        |
| 3          | 133 | 2      | 82014    | Meter E-daily Consumption                      | Monthly Energy Consumption (Meter)     | 1321687        |
| 3          | 138 | 2      | 82034    | Daily Yield (Theoretical)                      | Monthly Yield (Theoretical)            | 1321635        |
| 3          | 139 | 2      | 82035    | Grid-connecting Point PR                       | PR                                     | 1020957        |
| 3          | 140 | 2      | 82038    | Equivalent Hours of Grid-connecting Point      | Monthly Equivalent Hours               | 1321645        |
| 3          | 141 | 2      | 82033    | Grid-connection Point Daily Yield              | Grid-connection Point Monthly Yield    | 1321643        |
| 3          | 149 | 3      | 82012    | Daily Yield by Inverter                        | Yearly Yield (Inverter)                | 1321660        |
| 3          | 150 | 3      | 82011    | Daily Equivalent Hours of Inverter             | Yearly Equivalent Hours (Inverter)     | 1321667        |
| 3          | 151 | 3      | 82013    | Inverter PR                                    | PR (Inverter)                          | 1020959        |
| 3          | 153 | 3      | 82009    | Meter Daily Yield                              | Yearly Yield (Meter)                   | 1321659        |
| 3          | 154 | 3      | 82008    | Daily Equivalent Hours of Meter                | Yearly Equivalent Hours (Meter)        | 1321666        |
| 3          | 155 | 3      | 82010    | Meter PR                                       | PR (Meter)                             | 1020958        |
| 3          | 157 | 3      | 82014    | Meter E-daily Consumption                      | Yearly Energy Consumption (Meter)      | 1321668        |
| 3          | 162 | 3      | 82034    | Daily Yield (Theoretical)                      | Yearly Yield (Theoretical)             | 1321636        |
| 3          | 163 | 3      | 82035    | Grid-connecting Point PR                       | PR                                     | 1020957        |
| 3          | 164 | 3      | 82038    | Equivalent Hours of Grid-connecting Point      | Yearly Equivalent Hours                | 1321656        |
| 3          | 165 | 3      | 82033    | Grid-connection Point Daily Yield              | Grid-connection Point Yearly Yield     | 1321671        |
| 17         | 167 | 1      | 81001    | Inverter AC Power Normalization                | AC Power Normalization (Inverter)      | 1022496        |
| 17         | 168 | 1      | 81002    | Inverter AC Power                              | AC Power (Inverter)                    | 1022494        |
| 17         | 169 | 1      | 81003    | Inverter DC Power Normalization                | DC Power Normalization (Inverter)      | 1023636        |
| 17         | 170 | 1      | 81004    | Inverter DC Power                              | DC Power (Inverter)                    | 1023635        |
| 17         | 172 | 1      | 81007    | Inverter Total Yield                           | Total Yield (Inverter)                 | 1022599        |
| 17         | 174 | 1      | 81011    | Inverter Equivalent Hours                      | Daily Yield Equivalent Hour (Inverter) | 1022982        |
| 17         | 175 | 1      | 81022    | Unit PR                                        | PR                                     | 1020957        |
| 17         | 176 | 1      | 81023    | Unit Daily Yield                               | Daily Yield                            | 1022978        |
| 17         | 177 | 1      | 81025    | Unit Yield (Theoretical)                       | Daily Yield (Theoretical)              | 1022996        |
| 17         | 184 | 2      | 81012    | Daily Yield by Inverter                        | Monthly Yield (Inverter)               | 1321641        |
| 17         | 185 | 2      | 81011    | Inverter Equivalent Hours                      | Monthly Equivalent Hours (Inverter)    | 1321674        |
| 17         | 186 | 2      | 81022    | Unit PR                                        | PR                                     | 1020957        |
| 17         | 187 | 2      | 81023    | Unit Daily Yield                               | Monthly Yield                          | 1023538        |
| 17         | 188 | 2      | 81025    | Unit Yield (Theoretical)                       | Monthly Yield (Theoretical)            | 1321635        |
| 17         | 195 | 3      | 81012    | Daily Yield by Inverter                        | Yearly Yield (Inverter)                | 1321660        |
| 17         | 196 | 3      | 81011    | Inverter Equivalent Hours                      | Yearly Equivalent Hours (Inverter)     | 1321667        |
| 17         | 197 | 3      | 81022    | Unit PR                                        | PR                                     | 1020957        |
| 17         | 198 | 3      | 81023    | Unit Daily Yield                               | Annual Yield                           | 1022851        |
| 17         | 199 | 3      | 81025    | Unit Yield (Theoretical)                       | Yearly Yield (Theoretical)             | 1321636        |
| 1          | 200 | 1      | 1        | Daily Yield                                    | Daily Yield                            | 1022978        |
| 1          | 201 | 1      | 2        | Total Yield                                    | Total Yield                            | 1023740        |
| 1          | 240 | 1      | 805      | Equivalent Power Generating Hours              | Daily Equivalent Hours                 | 1022975        |
| 1          | 242 | 1      | 67       | Daily Yield (Theoretical)                      | Daily Yield (Theoretical)              | 1022996        |
| 1          | 243 | 1      | 68       | Power Generation Hours (Theoretical)           | Power Generation Hours (Theoretical)   | 1022604        |
| 1          | 263 | 2      | 1        | Daily Yield                                    | Monthly Yield                          | 1023538        |
| 1          | 303 | 2      | 805      | Equivalent Power Generating Hours              | Monthly Equivalent Hours               | 1321645        |
| 1          | 305 | 2      | 67       | Daily Yield (Theoretical)                      | Monthly Yield (Theoretical)            | 1321635        |
